ID,Job Title,Company,Location,Posted Date,Job Link,Stars,Job Type,Full Description,Apply Now Link
1,Clinical Nurse Advisor,Superdrug,Putney SW15,Just posted,https://uk.indeed.com/rc/clk?jk=eadcb1c219d3e2c2&bb=Xd9eoJbaYK1eIE6QJ12MwYqmacLXtSfWR4JToVJrZDiC7xudo8Dk4jnGiKFt_xCZtVoqMnHlugkU_xphM_barbvLFS6ueQFgJv84kdMjulDIw7CpePl_S2k9txY_AGJy&xkcb=SoBz67M35DoURoAHjz0LbzkdCdPP&fccid=377c7f65c7c5ca92&vjs=3,3.3,"Up to £43,000 a year","Location: Putney Exchange Shopping Centre (SW15 1TD)Hours:39 hours per week across 5 days (Including Alternate Saturday's)Salary:Up to £43,000 FTE (39 hours/week)Join Our Superdrug Nurse ClinicsAt Superdrug, we’re proud to offer a variety of healthcare services through our Nurse Clinics located in over 80 stores. We’re on the lookout for skilled nurses, preferably with experience in travel health/immunisation services within a primary care setting and are passionate about delivering exceptional customer service within a fast-paced environment.We Need:NMC registered nurses with experience in at least one of the following:Travel health,Immunisations with both children and adults,Health promotion,Autonomous working and sexual health.Professionals who are eager to grow and promote their clinic services.Sexual healthWhat Superdrug Offers:Competitive salary with up to 25% annual bonus potential.Instant access to Wagestream for real-time earnings tracking and financial management.Generous 6.6 weeks annual leave including Bank Holidays.Full coverage of NMC nurse registration fees.Up to 30% discount at Superdrug, including healthcare services.Comprehensive nurse induction, professional training, and development opportunities.Invitations to our annual Healthcare conference and Regional Nurse Workshops.Enhanced leave policies for various life events.Offer you training courses in the skills you don’t yet have, ensuring you’re fully equipped for the role.Provide autonomous, expert healthcare services.Providing excellent communication to customers with strong organisational skills.Promote clinic services through local networking.Why Superdrug?We celebrate personality, embrace fun, and work hard to deliver “That Superdrug feeling!” If you’re a practice nurse seeking a new challenge, join us and and make a difference!For information on how we manage and store your data please go to www.superdrug.jobs/privacy-policy/",https://uk.indeed.com/applystart?jk=eadcb1c219d3e2c2&from=vj&pos=bottom&mvj=0&spon=0&sjdu=mcLJI0lO9xR5mAT-NkUfzYDDplm6SwWjHcxyoDIphKnYqSdwjpID7iPLAUmKyIlZVjK6J-3cFXSHwHDDuB-p_L5LAL-3xWD0dR9k0OhXbYbm81IsNTA6FmY_qqNp45_0JeTafuQRPz1WwadXRaMFQVmgCQ-Vv0saOg6h6BwIsEFn_4c2hSS1lcp-sjxOc9JPw9_XINGINv7OnqX9-Wv1cg&vjfrom=serp&asub=mob&astse=5327629b19b614af&assa=1706
2,Travel Health Nurse,Masta,London,30+ days ago,https://uk.indeed.com/rc/clk?jk=838b95ee2e2c0c4c&bb=Xd9eoJbaYK1eIE6QJ12MwePv9hPiGevsTPHHbYQOVGEDcoNCSzBQt-dxCF_LttPphdlwZ498bQh-HCP1H4dZanRQ8aW2Ri1WywjtLZ8z0gUCSrUJv0MFup1yxkta6e4W&xkcb=SoDH67M35DoURoAHjz0KbzkdCdPP&fccid=28d9f0e5396120b0&vjs=3,4.0,N/A,"DescriptionMASTA is the UK’s leading independent service provider in the travel health field offering a range of unique products and services to our customers. MASTA offers a package that will reward your skills and experience together with the chance to develop your career in this complex and ever changing area of medicine. As part of our continued growth we have the following opportunity available:We have an exciting opportunity for an enthusiastic registered nurse with experience in general nursing, combined with previous experience in clinical consultation environment to join the team based in London as a Travel Health Nurse.Essential SkillsEssential Skills:You will Provide travel health risk assessments and advice to clients both in the travel clinic and on the telephone.Administer relevant immunisations, anti-malarial prophylaxis and other medicines in line with Patient Group Directions.Maintain accurate medical records utilising MASTA e-clinic software, and ensure there is client confidentiality at all times.Implement company policies and procedures.Work within guidelines to ensure smooth running of the clinic.Personal Characteristics:Works well with others to get the job done and responds positively to instructions and proceduresCommunicates effectively with members of the public and colleagues and share critical information with others in the multidisciplinary teamPersonal experience of travel and an interest in travel medicine is beneficial.Experience in clinical consultation, vaccine administration including intradermal vaccinations and venepuncture (or willingness to learn)Demonstrates openness and honesty and listens well during meetings and feedback sessionsStart DateN/A (see additional information)Additional InformationThis is a fantastic opportunity to work with an industry leading Travel Health Company.To apply for this role, please email your CV and covering letter.Why MASTA?“Travel health is such a positive aspect of nursing and it is constantly evolving. For the majority of the time I’m speaking with people who are looking forward to going away so it’s great to learn about their travel plans and rewarding to provide advice from a health promotion point of view. I had no previous experience in travel health before arriving at MASTA so it has been quite a challenge, but the training I received was comprehensive.” Claire Fleming, Tele-consult Nurse.",Apply now
3,Paramedic Role Available,Locum GNC,London,30+ days ago,https://uk.indeed.com/rc/clk?jk=433e9df39d6ac867&bb=mptJXbY-VJX65fbzWluhbjLoxHMNusLk_uwakJJ-2KesbXLhNoQIeGCPFLvc5Lyd33-DzHfCpRd03xiqOCXHo5jJsxBnpKVIBFev2efKm6soxjwu8j1B2WxJhDnXXrR8&xkcb=SoDC67M35DoURBQpch0LbzkdCdPP&fccid=8a07d1b5b48217de&vjs=3,N/A,N/A,We are looking for a Paramedic to join a wonderful team carrying out home visiting service in West LondonMondays to Fridays availableASAP startBenefits:Weekly payrollThird party payroll servicesHelp with IR35Exclusive rolesDesignated consultant to manage all your bookings and queries,https://uk.indeed.com/applystart?jk=433e9df39d6ac867&from=vj&pos=bottom&mvj=0&spon=0&sjdu=mcLJI0lO9xR5mAT-NkUfzYDDplm6SwWjHcxyoDIphKmG5NB5vBumYA6PCpGpZY9x4XrTVwdUgPopHF7A6VqSPy7_xUVRW2knSpyr-D_uBNXjscsR4DHOTw9ol7S71HZH8xfMm5sFQCIX9EhueDiAurkbgb7iHI_1KMiDEmPBcaWLuBTYyZJA3oKCsr-5AbVrw9_XINGINv7OnqX9-Wv1cg&vjfrom=serp&asub=mob&astse=93808afa09146f24&assa=8140
4,Paramedic Practitioner,One Health Lewisham,Lewisham,9 days ago,https://uk.indeed.com/rc/clk?jk=ba7b11f49ab880e1&bb=mptJXbY-VJX65fbzWluhbr3AkJ7VRCiYqvR7Gob3uJ1E_zor35UmlMXAwkSTwl2ZxJ2WqHd1j5PxLeeRJTSqSL6FlYRmimtBnQFM4u74ZKT-_bLGfOE3jg%3D%3D&xkcb=SoDr67M35DoURBQpch0JbzkdCdPP&fccid=f9420ae493462fef&vjs=3,N/A,"£58,000 - £62,000 a year","For more information, take a look at the job description attached. We look forward to receiving your application.",https://uk.indeed.com/applystart?jk=ba7b11f49ab880e1&from=vj&pos=bottom&mvj=0&spon=0&sjdu=mcLJI0lO9xR5mAT-NkUfzYDDplm6SwWjHcxyoDIphKndbCzBjGxeTSRHLAoT59wWuD87qxWIjDLUdzgfw5SsDLIagpy-neIpGMvrQpjUZEQBpeRqzX4BFclEbKMyIiz8I8y97E3fXxZukpNhz8ixVgdOBKbZROwvLezNLygt1sbljzeQuAuNXOuUZ2pv62jbw9_XINGINv7OnqX9-Wv1cg&vjfrom=serp&asub=mob&astse=e48bcfeaa7c0f9f5&assa=2469
5,Return to Practice Paramedic Assistant,Central London Community Health Trust,London W1D,3 days ago,https://uk.indeed.com/rc/clk?jk=a902dbf24ce624ec&bb=mptJXbY-VJX65fbzWluhbsz3J-CrMQOM0GO8frRVuBT9v2xc7Kt8qUtRAdyH7VbWKl_Bpjgf_zQKquZHCVnfxktpANYZ2D1g3V6Esgy-jvIrr9YZhMhwfA%3D%3D&xkcb=SoBf67M35DoURBQpch0IbzkdCdPP&fccid=c26332cbc6ac8b8d&vjs=3,3.8,"£30,279 - £33,116 a year","Resources HCPC returning to practice PDF Return to Practice Guide for prospective returners PDF Return to Practice is open for all HCPC registrants who have been off the register for 2 or more years, or for those who did not register within 5 years of qualification. The HCPC states the following requirement: Time out of practice Number of days 2 5 years 30 5 years or more 60 Please refer to job description, personal specification and trust values, for outline of skills, knowledge and experience required.",https://uk.indeed.com/applystart?jk=a902dbf24ce624ec&from=vj&pos=bottom&mvj=0&spon=0&sjdu=mcLJI0lO9xR5mAT-NkUfzYDDplm6SwWjHcxyoDIphKl31NSO0Ao5_HttUMI8qVS4y-TRwiOCHFrJl901qznPlTE4zcSz6TYrxoJwHif7dYfvpxirSyXOO1MwpHVfFSbJMC_YBS6Z3T8QdkIl76AMXAJbZGMXWvpXHrFg-ipSK5-bDq7WIzquClCft2w4YTPyw9_XINGINv7OnqX9-Wv1cg&vjfrom=serp&asub=mob&astse=40a9f6ebdd872cff&assa=1194
6,Advanced Paramedic Practitioner,East of England Ambulance Service Trust,Harlow CM20 1QP,6 days ago,https://uk.indeed.com/rc/clk?jk=f39fbc488d47e524&bb=mptJXbY-VJX65fbzWluhbmZIN1xxBWVVw23sHfbXlZ9_fAkCcZHc4sq9fdyIqBb3OO30CVXLzGQNZ-U6JdtXX38JFWKUpc8TalaUu883hzsqrWd3Z47tT2apWi1nxfe1&xkcb=SoBl67M35DoURBQpch0ObzkdCdPP&fccid=0755f5f720b6cd75&vjs=3,2.4,"£48,270 - £54,931 a year","This role will work across various clinical settings utilising a range of tools and models of practice. A highly proficient and autonomous Paramedic, the AP will provide care and treatment to patients presenting with undifferentiated urgent and unscheduled care problems. They will manage patients in, or closer to home, that present with chronic and long-term conditions, as well as minor illness and minor injury. This AP will: • Improve the patient's journey and experience by reducing the time to diagnosis/treatment and fast-tracking the patient through appropriate emergency care pathways. • Enhance the focus on appropriate admissions and referrals through access to appropriate care at point of need. • Provide an innovative service, underpinned by specialist knowledge and skills from a wide range of healthcare disciplines, offering the first point of contact at the appropriate place and time. Clinicians at this level will exhibit an advanced breadth and depth of knowledge combined with critical thinking and expertise in patient assessment, point of care patient diagnostics and clinical interventions which will be supported by an extended scope of practice beyond that required for paramedic registration. In addition, the AP will be expected to develop knowledge and skills in identified areas of specialist practice and contribute to pan-service education, training, and research and audit activity. (Paramedic or Nurse) RIS CarTo enable EEAST to meet the future needs of our patients, we are investing significantly in our urgent & emergency care services, developing a post registration career pathway for advanced practice.This will create exciting opportunities for current Advanced Paramedics and career development for our clinical workforce.Through this programme we are now seeking a number of individuals with the drive, leadership skills and clinical excellence to take on the new, exciting and challenging role of Advanced Paramedic in Urgent Care for a rapid intervention scheme in West Essex.In addition, Advanced Paramedics (paramedic or nurse) will provide clinical supervision and mentorship to our team of clinicians and contribute to the wider operational clinical team, through professional activities related to the four pillars of advanced practice, as well as providing excellent clinical care, on a number of new operational resources.We value care, teamwork, quality, respect and honesty in order to transform the care we deliver to our communities and welcome applicants who share these values to apply to work at EEAST.Staff demonstrate compassion and respect whilst promoting patient dignity and respecting individual needs, patients are involved in their care and treatment, and staff act with the utmost professionalism and support patients and the public in the most trying of circumstances to provide positive outcomes.If this sounds like you, and it’s time to make the change, then it’s time you applied to work at the ambulance service.The Advanced Paramedic - works across various clinical settings utilising a range of tools and models of practice. A highly proficient and autonomous Paramedic, the AP will provide care and treatment to patients presenting with undifferentiated urgent/critical and unscheduled care problems. They will manage patients in, or closer to home, that present with chronic and long-term conditions, as well as minor illness and minor injury. This AP will:Improve the patient's journey and experience by reducing the time to diagnosis/treatment and fast-tracking the patient through appropriate emergency care pathways.Enhance the focus on appropriate admissions and referrals through access to appropriate care at point of need.Provide an innovative service, underpinned by specialist knowledge and skills from a wide range of healthcare disciplines, offering the first point of contact at the appropriate place and time.Clinicians at this level will exhibit an advanced breadth and depth of knowledge combined with critical thinking and expertise in patient assessment, point of care patient diagnostics and clinical interventions which will be supported by an extended scope of practice beyond that required for paramedic registration. In addition, the AP will be expected to develop knowledge and skills in identified areas of specialist practice and contribute to pan-service education, training, and research and audit activity.",https://uk.indeed.com/applystart?jk=f39fbc488d47e524&from=vj&pos=bottom&mvj=0&spon=0&sjdu=mcLJI0lO9xR5mAT-NkUfzYDDplm6SwWjHcxyoDIphKm-6OH8m5Z3kW07Ss_WHXGyKdzJ7UjpDpCsaVRz3VTliikoWzB7pylvfSzvCidylFLtmkoCGvbE77x0sc2HRmZ3Ghh3Y4B3-bRzkoGAEPMDO8w1UXx5GWs2BGi9cXXoKHPdwwbZkU79HQuA_mSqHnymw9_XINGINv7OnqX9-Wv1cg&vjfrom=serp&asub=mob&astse=7891023299eeba69&assa=2813
7,Urgent Community Response Nurse / Paramedic,Central and North West London NHS Foundation Trust,London W8,2 days ago,https://uk.indeed.com/rc/clk?jk=ae32f696077392bb&bb=mptJXbY-VJX65fbzWluhbkYIaDsT7Cr-x9NlHuNSPMjgd2NWjLRz74_bAOOwFuezg9TsSdtXGOAfNiTAgXDKZHOqa13DTlDPSMtQvsUKDru-r0cQEKTvJzvtcvhLmYg3&xkcb=SoBM67M35DoURBQpch0MbzkdCdPP&fccid=b08125336feaaf65&vjs=3,3.9,"£44,806 - £53,134 a year","Are you caring, compassionate and committed to providing the best service possible to patients?Do you want to help deliver care to people in their homes in the Inner London Boroughs of Kensington and Chelsea, Westminster and Hammersmith & Fulham with an opportunity to work with a supportive skilled team and develop yourself to provide admission avoidance care?Make a difference to those who require rapid response in their own homes - with enthusiasm, energy and passion - we are looking for Band 6Registered Nurses or Paramedics who have experience in community or tertiary services and want to continue developing as independent practitioners. (Newly Qualified staff cannot be considered for this role).Due to an opportunity to grow our teams we are aiming to recruit the best team players who will be passionate about providing care, proactive, engaged and committed to delivering an excellent standard of care in the home to those in need.Community experience is not essential but applicants will need to demonstrate the Trust core Values and that they understand the issues involved in working in people's own homes, working alone and being able to work outside of regular working hours, weekends, public holidays and face to face visits will be essential.This position will require you to visit various locations throughout the London Boroughs of H&F, K&C and Westminster. We run a seven-day service and our working hours are 8 am until 10 pm/365 per year.We are a supportive and fast-paced team’s that strives for the very best. We provide an excellent development and supervision programme and a first-class learning experience in all aspects of community care. We also make it easy for you to access continuing professional development resources, which will support you in completing qualifications or modules to help you develop.We want you to make us your future.The successful applicant may have contact with patients or service users. As an NHS Trust we strongly encourage and support vaccination as this remains the best way to protect yourself, your family, your colleagues and of course patients and service users when working on our healthcare settings.To assess, plan, implement and provide evaluation of health care needs in conjunction with patients, their carer’s and other appropriate members of the multi professional team.To have agreed areas of responsibility and work as part of the team.To provide nursing care to patient in the communityTo see patients with potentially undifferentiated diagnosis including; objective assessment, physical assessment, treatment, follow-up and developing care plans.To ensure all patients on the caseload are managed well and discharged safely either to their GP or for further ongoing assessment, rehabilitation treatment and care.To be responsible for keeping up to date with current issues and events in Primary and Secondary Health Care.Liaising with community services partnersTo be an active member of the team and the team’s development.To provide support and health education for patients and carers through effective interpersonal skills.To comply with professional codes of conduct.To be able to work flexibly and relieve colleagues/rotate across the three boroughs as required and requested by the line manager to meet the needs of the service.To ensure that own mandatory training is kept up to date in line with Trust policies.",https://uk.indeed.com/applystart?jk=ae32f696077392bb&from=vj&pos=bottom&mvj=0&spon=0&sjdu=mcLJI0lO9xR5mAT-NkUfzYDDplm6SwWjHcxyoDIphKnu4nNtv76HNiKJoUiyRhg0zMaZu7n4N4O_wu3a9XmXiTMi2j8PR3ZSErVsw19w7JlLnkKw94iAg2C1_M4VxykqV_sZcJ2MSShHmK2AmWwozPY35vPMDE-iRWIsY4rXFQjjnP-7YxHwWhy0SnKCt4Bvw9_XINGINv7OnqX9-Wv1cg&vjfrom=serp&asub=mob&astse=989d54fdd6a5486d&assa=6227
9,Return to Practice Paramedic Assistant,Central London Community Healthcare NHS Trust,London W1D,2 days ago,https://uk.indeed.com/rc/clk?jk=6c7a9410e6a3f949&bb=mptJXbY-VJX65fbzWluhbq0qVrtk2kzhgHJa2B1bUVG2AaeRGOmSGSEQqRrGk7xT021wNom8c_i3yQdbXHWLSmE9OUVfQkj5n5K26yzAEf_MHkbIv_mQzI5LI8O4bdqW&xkcb=SoAR67M35DoURBQpch0CbzkdCdPP&fccid=7691ebb71b24124c&vjs=3,3.6,"£30,279 - £33,116 a year","Central London Community Healthcare (CLCH) NHS Trust are the leading provider of community health in the United Kingdom covering 11 London Boroughs and Hertfordshire with over 900Allied Health Professionals (AHPs) in seven professional groups – Dietitians, Occupational Therapists, Orthoptists, Paramedics, Physiotherapists, Podiatrists and Speech and Language Therapists. AHPs are 30% of the clinical workforce at CLCH providing assessment and treatment interventions across the lifespan from birth to end of life care.Are you a Paramedic considering return to practice?CLCH can provide you with full support to update your skills and knowledge so you can return to practice as a Health and Care Professions Council (HCPC) registered Paramedic.During your return to practice period we will employ you as a Band 4 Paramedic Assistant and on successful completion this can lead to a substantive registered Paramedic role in one of our supportive teams.Depending on how long you have been out of practice, the return to practice process can take between one to three months to complete. On successful completion you will be equipped with the skills and knowledge to return to practice with confidence.At CLCH we appreciate that returning healthcare professionals are often highly experienced with a great deal to offer both patients and to the organisation. We are very proud to have successfully supported AHP returnees at CLCH and happy to provide information about what is involved. If you have any further queries please feel free to contact Patsy Fung, Chief AHP via email p.fung@nhs.netCLCH offer to Paramedic returnees:£800 payment from NHS England to support with childcare, study and travel costsEmployment as a Band 4 Paramedic Assistant whilst undertaking supervised practiceFull support to update skills and knowledge to return on HCPC registerPayment of HCPC registration fees on successful completion of programmeSubstantive employment as a registered Paramedic in one of our supportive and valued teamsEnhanced Preceptorship and Practice Development AHP support with a comprehensive induction, education and training programmeCLCH are very proud to offer a comprehensive support package for AHP returnees, please see link: Central London Community Healthcare - Allied Health Professionals, Return to Practice (youtube.com)Just as we care about our patients’ wellbeing, we care about yours!We can offer you:A comprehensive induction into the community service followed by a local induction to introduce you to the roleCar lease scheme *T&C’s applyFlexible working optionsAnnual travel card loanTraining, support and development in your careerTo have a full look at our benefits and what it’s like working for us please go here: https://www.clch.nhs.uk/job/pay-and-benefitsResourcesHCPC returning to practice PDFReturn to Practice Guide for prospective returners PDFReturn to Practice is open for all HCPC registrants who have been off the register for 2 or more years, or for those who did not register within 5 years of qualification. The HCPC states the following requirement:Time out of practiceNumber of days2 – 5 years305 years or more60Please refer to job description, personal specification and trust values, for outline of skills, knowledge and experience required.",https://uk.indeed.com/applystart?jk=6c7a9410e6a3f949&from=vj&pos=bottom&mvj=0&spon=0&sjdu=mcLJI0lO9xR5mAT-NkUfzYDDplm6SwWjHcxyoDIphKnltOhvnBxNvmjwhLi_QjzGJ0YZwuTM_zPans2DRvybY-SR2NIFObLLU2CIZn7F2Ma1wDKCVv_kpINrD5xGgZfeiFNFmLAEJeQqgnk_4lVhCRHM0s5p5afiuvN-Q6qW1Y0XZIF2mqVmm4aOPZRVMxrew9_XINGINv7OnqX9-Wv1cg&vjfrom=serp&asub=mob&astse=51b5428ecaa10d36&assa=2396
10,Paramedic,PracticePlusGroup,London W12 0AN,30+ days ago,https://uk.indeed.com/rc/clk?jk=5331a2a034c8a3c4&bb=mptJXbY-VJX65fbzWluhbs-FP9ISYWEifajDODDrDDPz6bjrIGwwSDcHXyZWL1KxsQcgChWLeTgDuyyfxuIIQDLbh7rsIh38TesS-g_laxcTVPy_dUTItS95hzSVsWYN&xkcb=SoCM67M35DoURBQpch0BbzkdCdPP&fccid=0cf2644f39d77b9d&vjs=3,2.6,"Up to £53,172 a year","About The RoleUNLOCK YOUR BEST WORK LIFE+ MAKE A DIFFERENCE TO EVERY LIFEWe have an exciting opportunity for a Paramedic to join our Primary Care team at HMP Wormwood Scrubs, acategory BPrison located inlocated inLondon.In this role you will have the opportunity to provide the highest standards of healthcare to our patients, without having to compromise on efficiency.HoursWorking 37.5 hours a week, 12hr shifts across Monday to Sunday. No night shifts.SalaryThis position is full time, you’ll receive an annual salary up to £Up to £53,172 per annumper annum FTE - depending on experience.How will we support you?Bespoke induction, including our Introducing Health in Justice training courseCompetency frameworkRegional and national career development opportunitiesOur bespoke Learning Management System to address your learning needsSupport from the wider teamCandidates are required to have a Legal right to work in the UK and due to the nature of the role, offers of employment will be subject to additional vetting and security checksWhat you'll be doingAs a Paramedic, your responsibilities will vary. You willProvide outstanding evidence based case to our patients seeking out, listening to and acting on theirfeedback so that care is personalised and informed by what matters to them - focussing on emergency and unplanned care to patients with both primary care and acute care needs.Deliver non-judgemental care, building therapeutic relationships and promoting professional boundaries.Playing an active part in the assessment, planning, implementation and evaluation of the patient’s care following our policies, procedures and always considering safeguarding.Inspire excellence by forging strong links within our teams, our partners and stakeholders and providing a service that people can trust, feel safe within and feel proud of.Promote best practice, clinical supervision, evidence based care and continuous quality improvement embedding a culture of reflection and shared learning.If you are interested incareer development,we have a wide range of opportunities for you to develop your skills and experience, which include bothinternal and external optionsfor development and learning.It doesn’t stop there… we also offer:Discounts on shopping and leisure activitiesSupport to grow in your role and continue your professional development24/7 employee assistance helpline and financial assistance when you need itOur full range of benefits is available as a download on this ad.What we’ll look for in youThe Health in Justice team at Practice Plus Group makes a real difference across over 53 prisons, young offenders and immigration removal centres. We’re the UK’s leading independent provider of NHS services to over 40,000 patients in secure environments, always putting their needs first, regardless of their background.Practice Plus Group’s purpose is to Unlock your best work life and we stand by our core values:we treat patients and each other as we would like to be treatedwe act with integritywe embrace diversitywe strive to do things better togetherWe are looking for caring, compassionate but also driven professionals who can help us drive our vision for a fair and inclusive healthcare access to all.Qualifications requiredQualified ParamedicCurrent professional registration (HCPC)Proven post-registration ambulance experienceEvidence of continued professional developmentA non-judgmental and compassionate approachProven experience in either: Accident & Emergency, Primary Care environments or Minor injuries / illnessPatient centred values and non-judgmental approachSecure environments are one of the most challenging, yet rewarding places for healthcare professionals to work. If you’re looking for a role where you can develop your existing healthcare skills and learn something new every day in an environment that never stands still, then this could be the right opportunity for you.",https://uk.indeed.com/applystart?jk=5331a2a034c8a3c4&from=vj&pos=bottom&mvj=0&spon=0&sjdu=mcLJI0lO9xR5mAT-NkUfzYDDplm6SwWjHcxyoDIphKkC6VEaCS1pkO7j9sagnZp31lCi4qbA2I8mptMUf0msEBc44SkVcUTfInEGbSs2ddr59mGIj3XX4OPRgdENvoaOByNPDfjQ3ni8ARCENbizRx062BMMSieFBGuV7jAw1FhJ0MS6sF8d_brGY-IjtUHFw9_XINGINv7OnqX9-Wv1cg&vjfrom=serp&asub=mob&astse=4da690fc9ac40bc1&assa=5991
11,Paramedic Practitioner,INGEUS UK LIMITED,London NW11 7HB,EmployerActive 2 days ago,https://uk.indeed.com/rc/clk?jk=7a0a9e5c31084c12&bb=mptJXbY-VJX65fbzWluhbrcgRxfQrJQwCBuJD_JAXKnHR-EtdGWO6cSWgd5ELglS0eqtyWEWAHoLZILFVgupZCBLTSzjwBs7c5-a7AvjIEZFYxYVkWn7HRn_h9vOPN4PpQtlOjhngdo%3D&xkcb=SoA467M35DoURBQpch0AbzkdCdPP&fccid=e0f22964a012458c&cmp=Ingeus&ti=Paramedic&vjs=3,3.2,"£37,500 - £41,250 a year","Working Hours = 9am-5.30pm (Work remotely 2 days/week, 3 days in the Assessment Centre)We are delighted to announce exciting opportunities for qualified clinicians to join our team as a Functional Assessor here at Ingeus UK in Golders Green, part of the global human services provider APM Group.Are you passionate about helping others?Do you have 12+ months of UK-based post registration experience as an HCPC registered paramedic, physiotherapist, or occupational therapist; or an NMC registered nurse (RGN, RNLD, RMN)?Are you interested in a job that allows you to use your clinical skills in a different way whilst keeping your clinical registration?If so, then joining Ingeus UK as a Functional Assessor may be the perfect opportunity for you. From your first day, you’ll join a welcoming and skilled team and be supported through specialist training delivered by our Learning Academy, which includes one-to-one coaching, mentoring and workshops to guide you towards achieving full DWP accreditation.We’ll give you the tools you need to give you the best transition journey into your new position, as well as supported virtual and self-directed CPD. In addition, you’ll get access to a wide range of development opportunities include gaining experience in other areas such as Training Lead, Quality Lead and Clinical Practice Lead positions. Of course, this also includes opportunities across other clinical and healthcare business areas within the wider APM Group.As a Functional Assessor, your primary responsibilities will be:Carry out Personal Independence Payment (PIP) assessments of individuals of working age who have long term physical or mental health conditions or disabilities, their ability to carry out certain everyday tasks or their ability to get around safely.Preparing detailed reports and recommendations for submission to the Department of Work and PensionsCollaborating with colleagues to provide high-quality service to claimants and contribute to the continued improvement and service excellence of health assessment services in the UKWhat we can offer you includes:25 days annual leave + Bank HolidaysSupported/paid CPD for clinicians, registration fees reimbursedPrivate pension schemePrivate Medical insuranceMaternity and Parental LeaveOnline shopping discountsVariety of other financial and lifestyle optionsWhat we are looking for:At least 12-month’s post-registration experience gained in the UK as an HCPC paramedic, physiotherapist, or occupational therapist; or an NMC registered adult nurse.Experience treating a wide range of physical and mental health conditions preferredStrong critical analysis and logical thinking skillsProficiency in IT tools for documentation and communicationOur culture treats everyone with dignity and respect, ensuring that every individual is comfortable, confident, and recognised for the value of their contributions.We welcome neurodiverse colleagues and provide a detailed breakdown of our application, screening, and interview process. For assistance or alternative formats during the recruitment process, please speak to your recruiter.Please note we are unable to provide visa sponsorshipPIPOTHNOV1Job Types: Full-time, PermanentPay: £37,500.00-£41,250.00 per yearBenefits:Company pensionEmployee discountEmployee mentoring programmeEnhanced maternity leaveEnhanced paternity leaveFinancial planning servicesHealth & wellbeing programmeLife insurancePaid volunteer timePrivate medical insuranceReferral programmeWork from homeSchedule:Day shiftMonday to FridayNo weekendsExperience:UK-based broad post registration: 1 year (required)Licence/Certification:NMC (required)Work authorisation:United Kingdom (required)Work Location: In personExpected start date: 01/01/2025",https://uk.indeed.com/applystart?jk=7a0a9e5c31084c12&from=vj&pos=bottom&mvj=0&spon=0&xkcb=SoA467M35DoURBQpch0AbzkdCdPP&xfps=6535f6d2-9529-4057-9095-ca1c953f84d4&xpse=SoCT67I35GE_xeWXRx0LbzkdCdPP&sjdu=mcLJI0lO9xR5mAT-NkUfzYDDplm6SwWjHcxyoDIphKkGHr0b5kSHaMSMYXGIS1332st8q_qmDBCZkCz9weV_AApx8TVoKSrmBWvq8Te_h6nPIm_QGMWGl0AsKvraWG_-IlQosRvMPpSftxKpxrX82qjQ38V9DoWt3R3ih2IR3mqWxrlJ1b5V4CvWe2ilx-r3w9_XINGINv7OnqX9-Wv1cg&asub=mob&astse=7aa6dff8be34a054&assa=2821
